fecha,empresa,vendedor,producto,cantidad,precio,evento_especial
2022-01-06,56927,72,8001Y,1.0,3.31,1
2022-01-06,25885,59,8001K,3.0,2.46,0
2022-01-06,25885,59,8001M,2.0,2.48,0
2022-01-06,25885,59,8001C,2.0,2.46,0
2022-01-06,34032,60,9002,1.0,29.83,0
2022-01-06,34032,60,R10640,1.0,11.94,0
2022-01-06,34032,60,5600,1.0,17.33,0
2022-01-06,28098,70,5600,2.0,14.2,0
2022-01-06,28098,70,9100,1.0,2.73,0
2022-01-06,31396,62,8703C,1.0,37.49,0
2022-01-06,58936,72,5633,1.0,31.84,1
2022-01-06,58936,72,9001,1.0,3.41,0
2022-01-06,54905,70,6006U,3.0,77.65,0
2022-01-06,18519,104,8007K,1.0,3.92,0
2022-01-06,54904,70,5660,2.0,14.22,1
2022-01-06,27876,70,5637,2.0,16.88,0
2022-01-06,30128,75,8007K,1.0,4.31,0
2022-01-06,23641,76,5608,1.0,19.82,0
2022-01-06,58933,59,4537,1.0,184.05,0
2022-01-06,58934,105,9001,1.0,3.42,0
2022-01-06,58934,105,5728CH,1.0,32.16,0
2022-01-06,30894,62,5287,1.0,57.33,0
2022-01-06,31916,71,SM1001,1.0,3.01,0
2022-01-06,52902,70,5638X,1.0,44.72,0
2022-01-06,52915,70,5665,1.0,13.77,0
2022-01-06,52915,70,9001,1.0,2.94,0
2022-01-06,28382,70,5675-11K,1.0,35.07,1
2022-01-06,28382,70,9100,1.0,2.63,0
2022-01-06,27746,70,7112C,2.0,37.46,1
2022-01-06,56813,62,8704C,2.0,38.36,0
2022-01-06,56813,62,8704M,1.0,38.69,1
2022-01-06,56813,62,8704Y,1.0,38.71,0
2022-01-06,56655,75,8003C,1.0,3.9,1
2022-01-06,56655,75,8003M,1.0,3.85,0
2022-01-06,56655,75,8003Y,1.0,3.96,1
2022-01-06,30690,62,8101K,3.0,6.27,0
2022-01-06,58932,72,9100,1.0,3.51,0
2022-01-06,58932,72,5670C,1.0,24.64,1
2022-01-06,58932,72,5670M,1.0,24.62,0
2022-01-06,58932,72,5670K,1.0,24.46,0
2022-01-06,30309,75,8007K,1.0,4.28,0
2022-01-06,31396,62,8703Y,1.0,38.6,0
2022-01-06,31396,62,9002,1.0,49.43,0
2022-01-06,55455,64,R10749,1.0,15.14,0
2022-01-06,23340,76,5608,1.0,20.19,1
2022-01-06,55495,75,SM1004,10.0,3.71,0
2022-01-06,55495,75,8007C,1.0,3.94,0
2022-01-06,55495,75,8007K,2.0,3.92,0
2022-01-06,55495,75,8007M,1.0,3.84,0
2022-01-06,55495,75,8007Y,1.0,3.98,0
2022-01-06,31417,62,5681M,1.0,25.48,0
2022-01-06,52062,105,5680K,1.0,45.17,0
2022-01-06,31417,62,5681Y,1.0,24.54,0
2022-01-06,58935,105,T10110,1.0,100.94,1
2022-01-06,27571,70,6001,1.0,67.49,0
2022-01-06,27571,70,9001,1.0,3.01,0
2022-01-06,22116,105,9001,1.0,3.54,0
2022-01-06,22116,105,1272L,2.0,4.5,0
2022-01-06,19115,105,R10420,1.0,6.95,1
2022-01-06,56771,105,5675-11K,1.0,31.76,1
2022-01-06,56771,105,9001,1.0,2.52,0
2022-01-06,21772,105,R10162,1.0,265.0,1
2022-01-06,21772,105,R10205,1.0,14.75,1
2022-01-06,26008,59,SM1003,11.0,1.3,0
2022-01-06,58935,105,9100,1.0,2.94,0
2022-01-06,52062,105,5680C,1.0,45.81,0
2022-01-06,56387,70,8020K,1.0,7.46,1
2022-01-06,52062,105,5680Y,1.0,44.58,0
2022-01-06,21611,105,1069,1.0,3.94,0
2022-01-06,52250,105,5676,1.0,39.76,0
2022-01-06,27876,70,5639U,7.0,19.32,0
2022-01-06,58928,105,5727L,1.0,25.03,0
2022-01-06,58928,105,SM1004,1.0,3.16,0
2022-01-06,27476,70,R10096,1.0,144.84,1
2022-01-06,52840,76,6001,1.0,55.3,0
2022-01-06,52840,76,6006X,2.0,70.07,1
2022-01-06,52840,76,5728,1.0,24.81,0
2022-01-06,52840,76,6006U,1.0,79.22,0
2022-01-06,52840,76,6006X,1.0,69.29,0
2022-01-06,28212,70,5604,2.0,18.15,0
2022-01-06,58666,72,R10749,1.0,15.03,0
2022-01-06,55384,64,5680K,1.0,20.59,0
2022-01-06,27901,70,5749,1.0,49.8,1
2022-01-06,27901,70,5668X,1.0,39.29,0
2022-01-06,55384,64,8908,6.0,2.51,1
2022-01-06,55384,64,8020K,2.0,5.47,0
2022-01-06,32350,71,5656,4.0,16.27,0
2022-01-06,32350,71,5656U,2.0,17.3,0
2022-01-06,18583,105,5610,1.0,21.11,0
2022-01-06,34172,64,SM1004,5.0,2.99,0
2022-01-06,31704,71,6001U,2.0,57.33,0
2022-01-06,31515,72,3802,1.0,29.55,1
2022-01-06,58223,59,9100,1.0,2.98,0
2022-01-06,58223,59,5600,1.0,13.73,0
2022-01-06,26668,72,5676,1.0,32.97,0
2022-01-06,22536,105,4703,1.0,91.6,1
2022-01-06,31131,62,6003,3.0,52.36,0
2022-01-06,56666,59,8100K,2.0,5.08,0
2022-01-06,23925,76,4703,1.0,80.86,0
2022-01-06,58358,70,7522X,1.0,269.67,1
2022-01-06,52062,105,5680M,1.0,44.44,0
2022-01-06,58930,65,R10756,2.0,15.0,1
2022-01-06,55793,105,T10130,1.0,23.99,0
2022-01-06,32284,71,5660,1.0,19.76,0
2022-01-06,26513,72,5750CHK,6.0,45.51,0
2022-01-06,26513,72,5750CHC,6.0,45.67,0
2022-01-06,31704,71,3802,2.0,21.3,0
2022-01-06,26513,72,5750CHM,6.0,45.55,0
2022-01-06,26513,72,5750CHM,2.0,45.66,0
2022-01-06,26513,72,5750CHC,1.0,44.25,0
2022-01-06,31468,71,SM1001,9.0,2.76,0
2022-01-06,31468,71,5728XCH,1.0,51.7,0
2022-01-06,56657,72,3801,1.0,22.03,1
2022-01-06,57572,70,SM1001,1.0,2.96,1
2022-01-06,29551,64,5622X,1.0,37.29,0
2022-01-06,29551,64,5699,1.0,25.09,0
2022-01-06,57572,70,SM1001,4.0,2.74,1
2022-01-06,31131,62,6001,2.0,73.94,0
2022-01-06,31131,62,6001U,2.0,64.84,0
2022-01-06,26513,72,5750CHY,6.0,44.43,0
2022-01-06,21077,105,5608,2.0,13.18,0
2022-01-06,58792,70,SM1003,274.0,0.79,1
2022-01-06,29824,75,7111K,1.0,34.61,0
2022-01-06,58931,76,8702XY,1.0,30.43,0
2022-01-06,19556,64,SM1003,207.0,1.0,0
2022-01-06,56077,75,8904,2.0,2.0,0
2022-01-06,22808,76,7101K,1.0,34.55,0
2022-01-06,22808,76,7101C,1.0,39.66,0
2022-01-06,22808,76,7101Y,1.0,40.6,1
2022-01-06,22808,76,9001,1.0,5.02,0
2022-01-06,25926,59,5033K,2.0,18.0,0
2022-01-06,25926,59,5033M,2.0,18.08,0
2022-01-06,25926,59,5033C,2.0,18.04,1
2022-01-06,25926,59,5033Y,2.0,18.26,1
2022-01-06,31404,62,5707,3.0,30.21,0
2022-01-06,58931,76,8702XK,1.0,30.95,0
2022-01-06,58931,76,8702XM,1.0,30.14,0
2022-01-06,58931,76,8702XY,1.0,29.87,0
2022-01-06,58931,76,8703M,1.0,40.21,0
2022-01-06,58931,76,8702XK,1.0,30.01,0
2022-01-06,58931,76,8702XY,1.0,30.07,0
2022-01-06,29824,75,9001,1.0,4.3,0
2022-01-06,29824,75,7111C,1.0,38.62,1
2022-01-06,29824,75,7111M,1.0,39.79,0
2022-01-06,29824,75,7111Y,1.0,39.64,0
2022-01-06,52062,105,5034K,5.0,33.2,0
2022-01-06,52062,105,5034C,4.0,33.14,0
2022-01-06,52062,105,5034Y,3.0,32.98,1
2022-01-06,52062,105,5034M,3.0,33.4,0
2022-01-06,31704,71,8007K,2.0,2.54,0
2022-01-06,58931,76,8702XM,1.0,30.78,0
2022-01-06,58931,76,8702XK,1.0,30.39,0
2022-01-06,22808,76,7101M,1.0,40.57,0
2022-01-06,30753,62,9001,1.0,6.11,0
2022-01-06,23191,76,8004M,1.0,3.89,0
2022-01-06,23191,76,8004Y,1.0,3.92,0
2022-01-06,55156,64,1067,1.0,1.79,0
2022-01-06,30753,62,5250,1.0,114.2,0
2022-01-06,30753,62,5251,3.0,39.43,1
2022-01-06,34172,64,8100Y,1.0,5.0,1
2022-01-06,58929,105,8002K,1.0,3.21,0
2022-01-06,58929,105,8007C,1.0,3.22,0
2022-01-06,58929,105,8007M,1.0,3.19,0
2022-01-06,58929,105,8007Y,1.0,3.29,0
2022-01-06,58929,105,9100,1.0,2.04,0
2022-01-06,26722,72,9002,1.0,19.61,0
2022-01-06,31577,71,SM1001,2.0,3.01,1
2022-01-06,34172,64,8100M,1.0,4.94,0
2022-01-06,28476,70,5604,2.0,18.25,0
2022-01-06,34172,64,8100K,1.0,4.91,0
2022-01-06,34172,64,8100C,1.0,5.06,0
2022-01-06,28212,70,5604,2.0,17.82,0
2022-01-06,55793,105,SM1004,10.0,3.0,0
2022-01-06,23191,76,8004K,1.0,5.21,0
2022-01-06,23191,76,8004C,1.0,3.95,0
2022-01-07,29559,64,5702XY,1.0,24.57,1
2022-01-07,30949,62,8001K,6.0,1.96,1
2022-01-07,28589,70,5227,5.0,44.24,0
2022-01-07,30949,62,8007K,6.0,2.53,0
2022-01-07,29559,64,5702XC,1.0,24.8,0
2022-01-07,25792,59,8904,4.0,3.57,0
2022-01-07,25792,59,5676,1.0,29.71,0
2022-01-07,51534,105,SM1090,1.0,15.59,1
2022-01-07,23925,76,8912,19.0,1.0,0
2022-01-07,56125,105,5638,1.0,20.85,0
2022-01-07,29559,64,5702XM,1.0,25.0,1
2022-01-07,25898,59,R10757,1.0,14.86,0
2022-01-07,26964,72,5710,1.0,26.07,0
2022-01-07,28643,70,6001U,1.0,57.57,0
2022-01-07,28643,70,9001,1.0,5.04,0
2022-01-07,31415,62,SM1003,5.0,1.52,0
2022-01-07,52260,105,R00036,37.0,15.23,0
2022-01-07,26023,59,6003,1.0,47.87,0
2022-01-07,19960,105,8001Y,5.0,2.2,0
2022-01-07,19960,105,8001M,5.0,2.17,0
2022-01-07,19960,105,8001C,5.0,2.17,0
2022-01-07,31076,62,R10751,1.0,61.42,1
2022-01-07,28589,70,5718H,2.0,120.99,0
2022-01-07,28589,70,5699,1.0,16.92,1
2022-01-07,28643,70,3802,2.0,21.4,0
2022-01-07,23362,76,8509M,2.0,9.97,1
2022-01-07,55219,64,5676X,2.0,32.26,0
2022-01-07,23362,76,8509C,2.0,10.08,0
2022-01-07,26108,59,5600,2.0,16.23,0
2022-01-07,21196,105,R10420,1.0,6.97,0
2022-01-07,58512,105,7022,1.0,55.13,1
2022-01-07,27928,70,5626CHK,1.0,49.89,1
2022-01-07,55420,64,5680C,1.0,25.43,0
2022-01-07,55420,64,5680K,1.0,24.82,0
2022-01-07,55420,64,5680M,1.0,25.19,0
2022-01-07,55420,64,5680Y,1.0,24.9,1
2022-01-07,19960,105,8001K,8.0,2.13,0
2022-01-07,57463,64,7027K,1.0,39.53,0
2022-01-07,57385,75,T10051,1.0,113.05,0
2022-01-07,23419,76,5605U,1.0,39.54,0
2022-01-07,23362,76,8509Y,2.0,10.13,0
2022-01-07,23419,76,5605,1.0,49.44,0
2022-01-07,25882,59,5676,1.0,22.72,0
2022-01-07,26608,72,SM1001,1.0,2.62,0
2022-01-07,55923,59,8704M,1.0,35.6,0
2022-01-07,55156,64,3013M,2.0,3.38,0
2022-01-07,55156,64,3013Y,2.0,3.46,0
2022-01-07,22394,105,R10420,1.0,6.91,1
2022-01-07,25683,59,6100U,1.0,65.11,0
2022-01-07,30567,75,4703,1.0,81.4,0
2022-01-07,31190,62,5727L,1.0,19.76,0
2022-01-07,31190,62,5034K,1.0,19.38,0
2022-01-07,30793,62,8912,2.0,0.99,0
2022-01-07,23362,76,8509K,2.0,10.05,0
2022-01-07,31404,62,5608,1.0,11.87,1
2022-01-07,19960,105,8002K,5.0,2.15,0
2022-01-07,27167,72,5665,3.0,23.72,0
2022-01-07,19960,105,8007Y,4.0,2.21,0
2022-01-07,30894,62,8007K,2.0,2.99,0
2022-01-07,30894,62,8007M,4.0,3.03,0
2022-01-07,30894,62,8007Y,4.0,3.06,0
2022-01-07,30894,62,8002K,2.0,3.83,0
2022-01-07,55832,59,R11044,1.0,171.61,0
2022-01-07,55832,59,9002,1.0,40.47,0
2022-01-07,58754,59,8703K,1.0,40.36,0
2022-01-07,58754,59,8703Y,1.0,40.24,0
2022-01-07,25898,59,R10757,1.0,14.76,1
2022-01-07,26880,72,8007C,1.0,3.24,0
2022-01-07,26880,72,8007K,1.0,3.31,0
2022-01-07,30894,62,8007C,4.0,3.01,1
2022-01-07,26880,72,8007M,1.0,3.26,0
2022-01-07,26880,72,SM1001,2.0,3.04,0
2022-01-07,21100,105,R10592,1.0,130.33,0
2022-01-07,30948,62,R10749,2.0,19.84,0
2022-01-07,27876,70,5639,5.0,12.09,1
2022-01-07,21606,105,1066,3.0,2.51,0
2022-01-07,21395,105,3802,1.0,30.44,1
2022-01-07,21395,105,6006X,1.0,107.1,0
2022-01-07,21395,105,6001,1.0,68.16,0
2022-01-07,21395,105,6001U,1.0,63.39,1
2022-01-07,23043,76,7013,2.0,10.01,0
2022-01-07,22664,76,5665,5.0,19.82,0
2022-01-07,26880,72,8007Y,1.0,3.26,0
2022-01-07,27425,70,5653,10.0,8.91,0
2022-01-07,28842,64,9002,1.0,30.21,0
2022-01-07,28842,64,R10021,1.0,4.98,0
2022-01-07,19960,105,8007C,2.0,2.53,0
2022-01-07,19960,105,8007K,4.0,2.17,0
2022-01-07,52250,105,5728CH,1.0,45.25,0
2022-01-07,55260,64,5313,1.0,55.56,1
2022-01-07,52882,70,5626CHK,2.0,49.15,0
2022-01-07,32379,105,SM1004,11.0,3.14,0
2022-01-07,58792,70,SM1003,185.0,0.81,0
2022-01-07,25659,59,5727L,1.0,24.5,0
2022-01-07,25659,59,9001,1.0,4.44,1
2022-01-07,58447,75,4091,1.0,204.6,0
2022-01-07,58447,75,SM1082,1.0,13.12,0
2022-01-07,23064,76,8020K,1.0,6.88,1
2022-01-07,23373,76,8909,2.0,3.04,1
2022-01-07,58941,59,R10420,1.0,6.94,0
2022-01-07,23066,76,5748CH,1.0,30.22,0
2022-01-07,23066,76,7111C,1.0,30.11,0
2022-01-07,19165,59,8007Y,1.0,2.5,0
2022-01-07,19165,59,8007C,1.0,2.53,0
2022-01-07,19165,59,8007M,1.0,2.48,0
2022-01-07,19165,59,8007K,1.0,2.49,0
2022-01-07,19165,59,8002K,2.0,2.51,0
2022-01-07,19165,59,SM1004,10.0,3.53,0
2022-01-07,28183,70,9002,7.0,14.71,1
2022-01-07,27167,72,SM1001,11.0,2.75,0
2022-01-07,28842,64,R10058,1.0,7.1,0
2022-01-07,19960,105,8007M,5.0,2.17,0
2022-01-07,54812,70,7114Y,1.0,32.27,0
2022-01-07,55156,64,3013C,2.0,3.41,0
2022-01-07,27368,59,8703K,1.0,40.68,0
2022-01-07,56077,75,SM1001,1.0,2.82,0
2022-01-07,27752,70,5752CH,3.0,33.45,1
2022-01-07,26940,72,5626CHK,1.0,47.74,0
2022-01-07,26940,72,5626CHM,1.0,47.6,1
2022-01-07,26940,72,5626CHY,1.0,47.27,1
2022-01-07,26940,72,5626CHC,1.0,47.53,0
2022-01-07,27721,70,5675-11K,1.0,35.85,0
2022-01-07,27721,70,9100,1.0,3.98,0
2022-01-07,30057,75,8704C,1.0,34.79,0
2022-01-07,30057,75,8704K,1.0,40.69,0
2022-01-07,30057,75,8704M,1.0,35.64,1
2022-01-07,30057,75,8704Y,1.0,35.64,0
2022-01-07,27928,70,5626CHK,1.0,50.03,0
2022-01-07,23362,76,8510K,2.0,9.91,0
2022-01-07,27752,70,5750CHY,1.0,50.13,0
2022-01-07,27752,70,5750CHM,1.0,49.25,0
2022-01-07,27752,70,5750CHK,1.0,49.55,0
2022-01-07,27752,70,5750CHC,1.0,49.86,0
2022-01-07,30994,62,6006X,1.0,70.98,0
2022-01-07,58914,105,5665,1.0,24.53,0
2022-01-07,34455,70,5707,1.0,30.43,0
2022-01-07,34455,70,5225-5K,2.0,48.53,0
2022-01-07,31082,62,5665,2.0,21.0,0
2022-01-07,56125,105,5638,1.0,21.06,0
2022-01-07,19960,105,5600,1.0,17.11,0
2022-01-07,56077,75,8909,1.0,2.5,0
2022-01-07,55344,64,5603,1.0,21.27,1
2022-01-07,28737,70,7624Y,1.0,86.77,1
2022-01-07,28737,70,7624K,1.0,75.77,0
2022-01-07,31954,71,5660,1.0,12.7,0
2022-01-07,27150,72,5635,1.0,24.5,0
2022-01-07,55212,64,7102C,1.0,36.11,0
2022-01-07,55212,64,7102M,1.0,36.2,0
2022-01-07,55212,64,7102Y,1.0,35.88,1
2022-01-07,55212,64,7102K,1.0,35.6,0
2022-01-07,57385,75,T10051,1.0,116.35,0
2022-01-07,56455,105,9001,1.0,3.1,0
2022-01-07,56636,75,6003,2.0,45.45,0
2022-01-07,56294,70,SM1001,9.0,2.85,0
2022-01-07,19980,64,5665,2.0,18.68,0
2022-01-07,19980,64,9001,1.0,3.46,0
2022-01-07,27288,65,SM1090,1.0,17.34,0
2022-01-07,30809,62,8020K,2.0,12.12,0
2022-01-07,55843,64,5605,1.0,44.37,0
2022-01-07,55843,64,5605U,2.0,35.16,1
2022-01-07,58937,70,5675-11K,1.0,35.1,1
2022-01-07,58937,70,9100,1.0,2.64,0
2022-01-07,27167,72,8540BK,2.0,18.1,0
2022-01-07,27167,72,8540CL,2.0,17.88,0
2022-01-07,27167,72,8541C,1.0,99.08,0
2022-01-07,55260,64,5653,2.0,18.71,0
2022-01-07,28488,70,SM1001,11.0,2.76,0
2022-01-07,28528,70,5653,2.0,14.78,0
2022-01-07,28528,70,5676,2.0,28.25,0
2022-01-07,28737,70,7624C,1.0,87.63,1
2022-01-07,27368,59,8703Y,1.0,39.53,0
2022-01-07,58939,59,8999,1.0,10.12,0
2022-01-07,33400,64,5221,6.0,60.7,0
2022-01-07,54812,70,5626CHK,1.0,41.47,0
2022-01-07,54812,70,5740XC,1.0,70.12,0
2022-01-07,54812,70,5626CHC,1.0,42.28,0
2022-01-07,54812,70,5740XM,1.0,68.97,0
2022-01-07,54812,70,5227,3.0,59.57,1
2022-01-07,54812,70,5626CHY,1.0,41.28,0
2022-01-07,54812,70,5740XY,1.0,68.63,0
2022-01-07,54812,70,5626CHM,1.0,41.74,0
2022-01-07,54812,70,9001,1.0,5.91,0
2022-01-07,23288,76,8003C,1.0,3.84,0
2022-01-07,23288,76,8003K,1.0,5.19,1
2022-01-07,23288,76,8003M,1.0,3.92,0
2022-01-07,23288,76,8003Y,1.0,3.9,0
2022-01-07,26513,72,5749,3.0,36.36,0
2022-01-07,20870,105,5728,1.0,21.06,1
2022-01-07,31665,71,5600,2.0,24.64,1
2022-01-07,31665,71,SM1001,1.0,2.98,0
2022-01-07,55682,75,7101K,1.0,43.98,0
2022-01-07,25741,59,5707,1.0,32.38,0
2022-01-07,23641,76,5702K,1.0,25.4,1
2022-01-07,23641,76,5702C,1.0,24.7,0
2022-01-07,23641,76,5702Y,1.0,25.09,0
2022-01-07,23641,76,5702M,1.0,25.27,1
2022-01-07,26643,72,5656,1.0,18.53,0
2022-01-07,28589,70,5702K,1.0,18.86,0
2022-01-07,54812,70,5740XK,1.0,70.94,1
2022-01-07,33400,64,5227X,10.0,48.73,0
2022-01-07,54812,70,5718U,1.0,123.3,0
2022-01-07,19165,59,8102M,1.0,4.91,0
2022-01-07,28749,70,R10150,1.0,49.46,0
2022-01-07,25898,59,SM1090,1.0,15.07,1
2022-01-07,30977,62,5611,1.0,19.69,0
2022-01-07,31879,71,5665,2.0,18.18,0
2022-01-07,28329,70,5648,1.0,12.69,1
2022-01-07,54850,62,5633,2.0,32.0,0
2022-01-07,25945,59,3802,1.0,30.52,0
2022-01-07,56455,105,R10756,1.0,14.73,0
2022-01-07,55982,70,5622XCH,7.0,71.23,0
2022-01-07,58729,76,8007C,1.0,2.37,1
2022-01-07,58729,76,8007M,1.0,2.44,0
2022-01-07,58729,76,8007Y,1.0,2.43,0
2022-01-07,30953,62,5702K,1.0,29.81,1
2022-01-07,23362,76,SM1001,38.0,3.93,0
2022-01-07,58938,72,5727L,1.0,24.73,0
2022-01-07,55337,64,5685X,1.0,34.06,1
2022-01-07,27280,70,R10749,8.0,13.37,0
2022-01-07,31681,71,5699X,1.0,26.39,0
2022-01-07,23351,76,6003,1.0,45.4,0
2022-01-07,27752,70,5737CHK,1.0,35.55,0
2022-01-07,19165,59,5617C,1.0,19.77,0
2022-01-07,19165,59,5617Y,1.0,19.89,0
2022-01-07,19165,59,5617M,1.0,19.94,0
2022-01-07,19165,59,5617K,1.0,19.77,0
2022-01-07,19165,59,8102C,1.0,4.96,0
2022-01-07,19165,59,8102Y,1.0,5.09,0
2022-01-07,23066,76,7111Y,1.0,30.48,0
2022-01-07,58754,59,8703M,1.0,39.8,0
2022-01-08,58944,75,8666XM,1.0,51.28,0
2022-01-08,32430,60,9001,1.0,3.51,0
2022-01-08,55403,64,R10151,1.0,32.2,0
2022-01-08,57941,71,8102K,1.0,6.01,1
2022-01-08,57941,71,8102C,1.0,6.1,0
2022-01-08,57941,71,9001,1.0,2.49,0
2022-01-08,23834,76,7641K,2.0,139.3,0
2022-01-08,23834,76,7641C,1.0,239.33,1
2022-01-08,23834,76,7641Y,1.0,240.95,1
2022-01-08,30994,62,6006X,1.0,70.75,0
2022-01-08,23834,76,7641M,1.0,242.3,0
2022-01-08,17714,105,4537,1.0,187.76,0
2022-01-08,26228,72,R9979,1.0,50.35,0
2022-01-08,26228,72,9001,1.0,3.47,0
2022-01-08,58952,105,4537,1.0,187.57,0
2022-01-08,23925,76,R10756,1.0,15.28,1
2022-01-08,52530,105,9002,1.0,24.76,0
2022-01-08,28391,70,R10552,2.0,5.5,0
2022-01-08,28391,70,9001,1.0,4.98,0
2022-01-08,58948,59,5737CHK,1.0,42.53,1
2022-01-08,22000,59,5665,1.0,14.84,0
2022-01-08,55951,70,6007K,1.0,71.19,1
2022-01-08,18852,105,5600,3.0,10.99,0
2022-01-08,23138,76,5713K,1.0,40.57,1
2022-01-08,58949,72,5605,2.0,35.15,0
2022-01-08,55368,64,6003,1.0,47.51,1
2022-01-08,28299,70,R10749,1.0,15.96,0
2022-01-08,55317,64,R10328,1.0,8.12,0
2022-01-08,55317,64,R10598,1.0,15.05,0
2022-01-08,55317,64,9002,1.0,59.13,1
2022-01-08,55958,59,R10580,1.0,141.6,1
2022-01-08,55951,70,9100,1.0,2.98,0
2022-01-08,27746,70,7130,1.0,35.63,0
2022-01-08,27746,70,5675-11K,1.0,34.86,1
2022-01-08,32253,71,6007K,1.0,72.72,0
2022-01-08,23376,76,5033Y,1.0,24.53,0
2022-01-08,23376,76,9001,1.0,3.52,0
2022-01-08,27982,70,SM1001,137.0,2.85,0
2022-01-08,32284,71,5660,1.0,19.74,0
2022-01-08,32430,60,R10710,1.0,38.32,0
2022-01-08,54925,70,5675-11K,1.0,35.67,0
2022-01-08,27746,70,5633,1.0,29.63,0
2022-01-08,23340,76,R10552,3.0,5.03,0
2022-01-08,27278,65,5746X,1.0,168.59,0
2022-01-08,27278,65,9001,1.0,4.9,1
2022-01-08,57928,59,6103,1.0,24.55,0
2022-01-08,30057,75,5660,1.0,14.87,0
2022-01-08,57428,72,5660,1.0,19.55,1
2022-01-08,26104,59,1306,1.0,7.1,0
2022-01-08,26104,59,9001,1.0,3.55,0
2022-01-08,32284,71,5727L,1.0,24.9,1
2022-01-08,52891,70,8001C,2.0,1.47,0
2022-01-08,52891,70,8001K,4.0,1.48,1
2022-01-08,57928,59,5653,1.0,9.09,0
2022-01-08,52891,70,8001M,2.0,1.52,0
2022-01-08,52891,70,SM1001,5.0,2.83,0
2022-01-08,52891,70,8007C,2.0,1.5,1
2022-01-08,52891,70,8002K,4.0,2.52,0
2022-01-08,52891,70,8007M,2.0,1.49,0
2022-01-08,52891,70,8007Y,2.0,1.5,0
2022-01-08,26087,59,5600,1.0,13.9,0
2022-01-08,55403,64,7017,1.0,23.16,0
2022-01-08,58944,75,8666XY,1.0,51.74,1
2022-01-08,52891,70,8001Y,2.0,1.48,0
2022-01-08,26104,59,5609,1.0,16.03,0
2022-01-08,58169,59,9002,1.0,30.55,0
2022-01-08,58169,59,5670K,1.0,24.21,1
2022-01-08,58955,70,5622XCH,2.0,76.07,0
2022-01-08,22867,76,4704,1.0,151.87,0
2022-01-08,22680,76,5658Y,1.0,15.13,0
2022-01-08,22680,76,5658K,2.0,15.1,0
2022-01-08,26783,72,5727L,23.0,29.62,0
2022-01-08,26783,72,5660,26.0,10.93,0
2022-01-08,27807,70,7568,2.0,62.83,0
2022-01-08,20511,105,R10492,1.0,7.95,0
2022-01-08,23138,76,R10166,1.0,254.05,1
2022-01-08,30835,62,5645,1.0,19.02,1
2022-01-08,54812,70,5684K,1.0,54.45,0
2022-01-08,55317,64,6006X,1.0,79.88,1
2022-01-08,55317,64,5600,1.0,20.88,0
2022-01-08,55317,64,5705,1.0,29.47,0
2022-01-08,28524,70,9001,1.0,3.15,1
2022-01-08,28524,70,R10540,1.0,115.34,0
2022-01-08,22416,105,8020K,2.0,12.23,1
2022-01-08,58940,65,T10114,1.0,137.97,0
2022-01-08,58169,59,5670C,1.0,24.36,0
2022-01-08,55981,70,5605U,1.0,27.31,0
2022-01-08,57318,105,8003K,3.0,3.21,0
2022-01-08,22680,76,5658C,1.0,14.89,0
